t,year,rocket_arrivals_tons,elevator_arrivals_tons,isru_production_tons,cumulative_city_tons,D_E_aggressive,D_M,D_total_aggressive,D_E_conservative,D_M_conservative,D_total_conservative
62,2055.1666666666665,17112.831614370094,44749.99999999999,247451.32645748035,18709583.69353544,1922670879.0107427,14967666.954828354,1937638545.965571,22144762.417964797,71107.02045651032,22215869.43842131
63,2055.25,17342.390135854133,44750.0,248369.56054341653,19020045.644214712,1958798987.9933193,15216036.51537177,1974015024.508691,22422474.44851884,142056.95655669365,22564531.40507553
64,2055.3333333333335,17387.723439374746,44750.0,248550.89375749897,19330734.261411585,1995021390.2472188,15464587.40912927,2010485977.6563482,22672166.74122114,235604.0161523522,22907770.757373493
65,2055.4166666666665,17432.839753244618,44750.00000000001,248731.35901297844,19641648.46017781,2031337634.4339676,15713318.768142248,2047050953.2021098,22906531.55422117,341593.52476531,23248125.078986477
66,2055.5,17477.73839209817,44750.0,248910.95356839267,19952787.1521383,2067747267.7895317,15962229.721710641,2083709497.5112424,23127070.822845172,458823.06343449955,23585893.886279672
67,2055.5833333333335,17522.41869882828,44750.00000000001,249089.6747953131,20264149.245632444,2104249836.1830945,16211319.396505954,2120461155.5796006,23335139.065035768,586208.1444773376,23921347.209513105
68,2055.6666666666665,17753.761747029625,44750.0,250015.04698811847,20576668.05436759,2141233598.1169162,16461334.443494072,2157694932.56041,23532892.254236497,722770.6401048718,24255662.89434137
69,2055.75,17798.474187704887,44750.0,250735.8226058754,20889410.425306115,2178310361.9273424,16712070.266099948,2195022432.1934423,23721177.39968687,867628.3463504486,24588805.74603732
70,2055.8333333333335,17842.96415101833,44750.0,249829.9307490174,21202375.24606121,2215479664.8614607,16961900.196848966,2232441565.0583096,23898882.22783349,1020044.4145821694,24918926.64241566
71,2055.9166666666665,17887.231085460015,44750.00000000001,274887.8189898382,21515561.401488505,2252741043.0192175,17236788.015838806,2269977831.035056,24099365.490687285,1179295.6232889728,25278661.11397626
72,2056.0,17931.274467226656,44750.0,226386.20322090847,21828967.77382464,2290094031.411049,17463174.219059713,2307557205.630109,24231493.195927512,1344729.6623176995,25576222.858245213
73,2056.0833333333335,18164.305313717603,44750.0,251657.22125487035,22143539.300393227,2327931723.9635816,17714831.440314583,2345646555.4038963,24388216.58189967,1515758.174794843,25903974.75669451
74,2056.1666666666665,18208.359021393393,44749.99999999999,251833.4360855735,22458331.095500194,2365861048.22808,17966664.876400158,2383827713.10448,24538755.837336756,1691910.2065307454,26230666.043867502
75,2056.25,18252.185401324357,44750.0,252008.74160529743,22773342.022506814,2403881531.3628345,18218673.618005455,2422100204.9808397,24727108.386829823,1837986.9085415895,26565095.295371413
76,2056.3333333333335,18295.784034241115,44749.99999999999,252183.13613696443,23088570.94267802,2441992699.654056,18470856.75414242,2460463556.4081984,24952919.710941676,1954270.9853890724,26907190.69633075
77,2056.4166666666665,18339.154527876115,44750.00000000001,252356.61811150447,23404016.7153174,2480194078.572038,18723213.372253925,2498917291.944292,25178826.762347396,2070651.9623760001,27249478.724723395
78,2056.5,18382.29651675088,44750.0,252529.18606700352,23719678.197901156,2518485192.82688,18975742.55832093,2537460935.385201,25404828.737252902,2187129.5685186004,27591958.305771504
79,2056.5833333333335,18617.138929268684,44749.99999999999,253468.5557170747,24036513.892547496,2557264779.299759,19229211.114038,2576493990.413797,25631481.594781976,2304025.838212416,27935507.43299439
